,Source,Target,Weight
130,Jaime,Loras,16
131,Jaime,Meryn,11
132,Jaime,Qyburn,11
133,Jaime,Renly,7
134,Jaime,Robert,17
135,Jaime,Stannis,5
136,Jaime,Tommen,8
137,Jaime,Tyrion,31
138,Janos,Alliser,9
139,Janos,Bowen,5
140,Janos,Mance,4
141,Joffrey,Gregor,5
142,Joffrey,Ilyn,4
143,Joffrey,Kevan,8
144,Joffrey,Loras,7
145,Joffrey,Margaery,28
146,Joffrey,Meryn,5
147,Joffrey,Myrcella,5
148,Joffrey,Oberyn,4
149,Joffrey,Sandor,14
150,Joffrey,Stannis,10
151,Joffrey,Tommen,9
152,Joffrey,Tyrion,54
153,Jojen,Meera,33
154,Jojen,Samwell,11
155,Jon,Aemon,30
156,Jon,Alliser,15
157,Jon,Craster,7
158,Jon,Dalla,6
159,Jon,Eddison,4
160,Jon,Gilly,9
161,Jon,Grenn,25
162,Jon,Janos,8
163,Jon,Mance,69
164,Jon,Meera,4
165,Jon,Melisandre,7
166,Jon,Orell,6
167,Jon,Qhorin,31
168,Jon,Rattleshirt,20
169,Jon,Robert,5
170,Jon,Samwell,52
171,Jon,Stannis,9
172,Jon,Styr,16
173,Jon,Theon,8
174,Jon,Val,12
175,Jon,Ygritte,54
176,Jon Arryn,Lysa,5
177,Jon Arryn,Robert,6
178,Jorah,Barristan,11
179,Jorah,Belwas,13
180,Jorah,Daario,7
181,Jorah,Drogo,6
182,Kevan,Lancel,7
183,Kevan,Varys,5
184,Loras,Margaery,9
185,Loras,Olenna,5
186,Lothar,Roslin,4
187,Luwin,Nan,4
188,Lysa,Cersei,4
189,Lysa,Hoster,6
190,Lysa,Marillion,10
191,Lysa,Petyr,29
192,Lysa,Robert Arryn,9
193,Lysa,Tyrion,5
194,Lysa,Tywin,4
195,Mance,Craster,11
196,Mance,Dalla,8
197,Mance,Gilly,7
198,Mance,Qhorin,10
199,Mance,Rattleshirt,9
200,Mance,Styr,7
201,Mance,Val,8
202,Mance,Ygritte,12
203,Meera,Samwell,7
204,Melisandre,Davos,30
205,Melisandre,Samwell,5
206,Meryn,Ilyn,5
207,Missandei,Irri,4
208,Myrcella,Tommen,5
209,Myrcella,Tyrion,4
210,Oberyn,Ellaria,6
211,Oberyn,Mace,6
212,Podrick,Margaery,4
213,Rattleshirt,Qhorin,6
214,Renly,Loras,8
215,Renly,Margaery,7
216,Renly,Varys,4
217,Rhaegar,Barristan,5
218,Rhaegar,Elia,7
219,Rhaegar,Jorah,5
220,Rhaegar,Robert,6
221,Rickard,Brynden,4
222,Rickon,Theon,8
223,Robb,Arya,15
224,Robb,Balon,6
225,Robb,Bran,23
226,Robb,Brienne,6
227,Robb,Brynden,17
228,Robb,Edmure,32
229,Robb,Hodor,5
230,Robb,Jaime,15
231,Robb,Jeyne,18
232,Robb,Joffrey,10
233,Robb,Jon,14
234,Robb,Lothar,10
235,Robb,Petyr,5
236,Robb,Ramsay,4
237,Robb,Rickard,7
238,Robb,Rickon,15
239,Robb,Roose,4
240,Robb,Sansa,15
241,Robb,Stannis,4
242,Robb,Theon,11
243,Robb,Tyrion,12
244,Robb,Tywin,12
245,Robb,Walder,26
246,Robert,Aemon,4
247,Robert,Barristan,5
248,Robert,Renly,4
249,Robert,Stannis,5
250,Robert,Thoros,4
251,Robert Arryn,Marillion,4
252,Roose,Brienne,4
253,Samwell,Bowen,6
254,Samwell,Craster,34
255,Samwell,Eddison,12
256,Samwell,Gilly,36
257,Samwell,Grenn,43
258,Samwell,Janos,6
259,Samwell,Mance,10
260,Samwell,Qhorin,5
261,Sandor,Beric,15
262,Sandor,Gendry,5
263,Sandor,Ilyn,4
264,Sandor,Meryn,4
265,Sandor,Robert,6
266,Sandor,Thoros,10
267,Sansa,Arya,22
268,Sansa,Bran,10
269,Sansa,Brienne,5
270,Sansa,Cersei,16
271,Sansa,Jaime,10
272,Sansa,Joffrey,35
273,Sansa,Jon,4
274,Sansa,Kevan,5
275,Sansa,Loras,14
276,Sansa,Lysa,28
277,Sansa,Margaery,36
278,Sansa,Marillion,9
279,Sansa,Myrcella,4
280,Sansa,Olenna,7
281,Sansa,Petyr,28
282,Sansa,Podrick,8
283,Sansa,Renly,4
284,Sansa,Rickon,7
285,Sansa,Robert,5
286,Sansa,Robert Arryn,6
287,Sansa,Sandor,6
288,Sansa,Shae,8
289,Sansa,Tyrion,77
290,Shae,Chataya,4
291,Shae,Varys,8
292,Shireen,Davos,5
293,Stannis,Aemon,4
294,Stannis,Balon,4
295,Stannis,Davos,32
296,Stannis,Melisandre,20
297,Stannis,Renly,15
298,Stannis,Samwell,13
299,Tommen,Margaery,5
300,Tyrion,Balon,4
301,Tyrion,Bronn,31
302,Tyrion,Chataya,5
303,Tyrion,Doran,5
304,Tyrion,Elia,5
305,Tyrion,Ellaria,4
306,Tyrion,Gregor,22
307,Tyrion,Ilyn,5
308,Tyrion,Janos,5
309,Tyrion,Kevan,11
310,Tyrion,Loras,6
311,Tyrion,Mace,9
312,Tyrion,Margaery,7
313,Tyrion,Meryn,5
314,Tyrion,Oberyn,25
315,Tyrion,Petyr,12
316,Tyrion,Podrick,28
317,Tyrion,Pycelle,11
318,Tyrion,Renly,6
319,Tyrion,Robert,9
320,Tyrion,Sandor,4
321,Tyrion,Shae,21
322,Tyrion,Stannis,6
323,Tyrion,Varys,18
324,Tywin,Balon,5
325,Tywin,Brynden,4
326,Tywin,Cersei,16
327,Tywin,Gregor,7
328,Tywin,Jaime,13
329,Tywin,Joffrey,13
330,Tywin,Kevan,14
331,Tywin,Mace,5
332,Tywin,Oberyn,6
333,Tywin,Petyr,4
334,Tywin,Podrick,5
335,Tywin,Pycelle,5
336,Tywin,Robert,11
337,Tywin,Stannis,15
338,Tywin,Tommen,4
339,Tywin,Tyrion,39
340,Tywin,Val,4
341,Tywin,Varys,6
342,Tywin,Walder,4
343,Val,Dalla,7
344,Varys,Pycelle,4
345,Viserys,Rhaegar,7
346,Viserys,Tyrion,4
347,Walder,Lothar,12
348,Walder,Petyr,6
349,Walder,Roslin,6
350,Walton,Jaime,10
351,Ygritte,Qhorin,7
352,Ygritte,Rattleshirt,9
